height,sex,weight
1.48,F,46.90750549577698
1.8,M,81.72626122852174
1.75,M,77.90629018020329
1.7,M,74.08631913188484
1.64,M,69.50235387390269
1.54,F,51.49147075375912
1.72,M,75.61430755121222
1.48,F,46.90750549577698
1.81,M,82.49025543818541
1.45,F,44.61552286678591
1.68,M,72.55833071255745
1.76,M,78.67028438986698
1.53,M,61.09841756760212
1.49,F,47.67149970544067
1.46,F,45.3795170764496
1.74,M,77.14229597053959
1.49,F,47.67149970544067
1.52,F,49.96348233443174
1.76,M,78.67028438986698
1.37,F,38.50356918947641
1.55,F,52.25546496342281
1.56,F,53.019459173086496
1.49,F,47.67149970544067
1.56,F,53.019459173086496
1.64,M,69.50235387390269
1.79,M,80.96226701885804
1.77,M,79.43427859953067
1.48,F,46.90750549577698
1.62,F,57.60342443106864
1.49,M,58.04244072894736
1.66,F,60.65940126972338
1.37,F,38.50356918947641
1.48,F,46.90750549577698
1.79,M,80.96226701885804
1.69,F,62.951383898714454
1.4,F,40.79555181846746
1.79,M,80.96226701885804
1.42,F,42.323540237794845
1.32,F,34.68359814115796
1.8,M,81.72626122852174
1.46,F,45.3795170764496
2.0,M,97.00614542179551
1.59,M,65.68238282558426
1.6,M,66.44637703524795
1.71,M,74.85031334154853
1.39,F,40.031557608803766
1.55,F,52.25546496342281
1.74,M,77.14229597053959
1.54,F,51.49147075375912
1.51,F,49.19948812476805
1.72,M,75.61430755121222
1.72,M,75.61430755121222
1.62,F,57.60342443106864
1.41,F,41.55954602813115
1.58,F,54.547447592413874
1.25,F,29.33563867351213
1.42,F,42.323540237794845
1.46,M,55.75045809995629
1.75,M,77.90629018020329
1.52,F,49.96348233443174
1.6,M,66.44637703524795
1.54,F,51.49147075375912
1.43,F,43.08753444745853
1.41,F,41.55954602813115
1.49,F,47.67149970544067
1.49,F,47.67149970544067
1.47,F,46.14351128611329
1.32,F,34.68359814115796
1.62,F,57.60342443106864
1.36,F,37.739574979812716
1.43,F,43.08753444745853
1.4,F,40.79555181846746
1.53,F,50.727476544095424
1.48,F,46.90750549577698
1.5,F,48.43549391510436
1.34,F,36.21158656048534
1.67,M,71.79433650289377
1.6,F,56.07543601174126
1.94,M,92.42218016381338
1.75,M,77.90629018020329
1.66,M,71.03034229323008
1.59,M,65.68238282558426
1.38,F,39.26756339914008
1.74,M,77.14229597053959
1.67,M,71.79433650289377
1.17,F,23.223684996202614
1.78,M,80.19827280919435
1.52,M,60.334423357938434
1.47,F,46.14351128611329
1.74,M,77.14229597053959
1.72,M,75.61430755121222
1.79,M,80.96226701885804
1.56,F,53.019459173086496
1.66,M,71.03034229323008
1.75,M,77.90629018020329
1.73,M,76.3783017608759
1.4,F,40.79555181846746
1.66,M,71.03034229323008
1.65,M,70.26634808356638
1.69,M,73.32232492222114
